Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R),"Primary somatosensory area, upper limb (L)","Primary somatosensory area, upper limb (R)","Primary somatosensory area, unassigned (L)","Primary somatosensory area, unassigned (R)"
264.01055,1.78470142767644,3.42001040105614,3.57425521769599,4.64143492647601,4.81732263775708,6.64366073437556,7.73729287255664,8.34288093513075,9.98984546840515,9.66856350995865,10.9364931355585,12.9670718301634,13.6543609952701,14.5271586106975,15.0061958956819,16.3409916490772,18.0045839103972,18.1958166312034,19.0191853810107,21.2775505988651,21.3771510264114,22.9327775718897,23.4447895406638,24.641661924142
264.41055,1.81654949960867,2.45012319561956,3.55049690490569,4.41043844704723,5.23304443969468,6.0061602617319,6.74324187600911,8.91902527796452,9.94511633522676,10.2492418261228,10.1818857082088,12.3153004740649,12.9988716159069,14.138545451894,15.090215829917,16.6703738241886,17.6655169736775,18.014125386226,18.8709970276687,19.8837812609015,21.4879581104274,22.7662387882468,23.6963853097227,24.6251819630518
264.810575,1.6600426694448,2.64608341759409,3.10540370632689,3.84992478653877,5.04170310519315,5.94957680015895,6.64665232217208,8.00070691726362,10.4641801493092,10.1395105467004,10.6803872525731,11.9661022242226,13.2012520811589,13.9459677243889,15.4574539102547,16.3113798903378,17.0191683653873,18.717782648466,18.9399948259471,19.8848988126925,21.5112125826767,21.7586852764917,23.4328487600121,23.7830836406899
265.2106,1.22877558255998,1.82189662917739,3.20362556421946,3.71930099906241,4.58337626755547,6.24310847912989,7.66505292233329,8.42209603004609,10.3023097227717,10.8333275249483,11.3169607476324,12.4010221265299,13.0808820354452,14.1172514533266,15.603012497125,16.5568330103938,17.5866593198137,18.223503821455,18.6610169526815,20.6524754832419,21.1997700685144,22.0979495233792,23.377925438514,23.7896250181277
265.6106,1.02277554545658,1.85873842363337,2.72855587237638,3.78881935965148,4.42151267521471,5.95420653664723,7.01715627011139,7.93627235291499,9.98182955293135,10.1026604344163,10.7337729837344,12.3534275470803,13.0377161902372,13.5421417562111,14.6796745821471,15.9069838877652,16.366999861344,17.4866262670991,18.7863925140757,20.4344075263206,21.0369378301842,22.0780461955944,22.8232486825546,23.4780233141637
266.010625,2.11711920231027,2.91107874886707,3.81703265549267,5.07550286595622,5.28661395643149,6.75587402506054,8.12052740181154,8.26257648799658,10.3645693944759,10.7714651250432,11.0652135731946,12.2578714195717,13.7283126174402,13.9531842789453,15.4209792005459,16.500966265874,17.6318229081208,18.4238404923433,19.6194625879403,20.572550006768,22.271326980697,22.3553658659631,24.1335511751569,24.2223326673976
266.410625,1.74260466350645,2.74266363859379,3.51175033577555,4.20121434841982,5.33142515513886,6.45350216652177,7.24130272980923,8.17190559401149,9.68501358979345,9.85951390026186,11.5762894949868,12.4631988727149,13.5371127382119,14.0570282726964,15.1788558583735,16.2088411842379,17.4506261875331,18.3160348026109,18.968649806936,20.5785547474936,21.2839013879148,22.5883969660935,23.352198715234,24.328173455778
266.81065,1.30496897945161,2.45261908453577,3.31680175397924,3.40091889423044,5.42051132184053,6.06224076293732,7.91863480864617,7.78059972740253,10.2114887010823,10.3077449615449,11.4078010994982,12.4467338373581,12.9068390644716,14.2512047373311,15.0542808198363,15.6875400960787,17.2668176007123,18.2923695425584,19.1413050737641,20.175601803643,21.0285001165581,22.1832317020604,23.7301062762298,24.1978904040075
267.210675,2.09722185463174,2.64133231644703,3.64521735922883,4.08895533824805,5.22177678989981,5.65787119076558,7.55297932217548,8.04257761787,9.09660996085756,10.412178821617,11.3832608907831,12.3998485741146,13.2916014904028,13.9705575101643,14.8011319484159,16.2014242960946,17.4538734014445,17.9185968959518,19.0223787361392,20.0839410452945,21.4380953663892,21.9974495700664,23.1486533967831,24.3916594370702
267.610675,1.22194703385317,2.5843699677124,3.5160490160347,4.08249719131088,4.94788530754287,5.65886784564938,6.5855881990756,7.84116277232565,9.73118924319803,9.97391680067715,11.141036395098,12.0005423921981,13.1153724936548,13.3454507065539,15.6642995997625,16.0733239344971,17.4105498524554,18.0051586747357,19.0444984298794,20.8114765748326,21.5744554895608,22.3531326662824,23.4686232181877,24.0106068939777
268.0107,1.19118699130085,2.21428996968868,3.42784113094445,3.77270783488771,4.7003905185362,5.92934513212758,6.97657972512932,7.93945962263405,9.23528613817053,10.6077522883616,11.1803871073472,11.2512589908568,13.5112787740636,13.8341993810916,14.7405089554571,15.6772735202238,17.2944361036821,17.9316547571673,18.9002123819418,20.4080076803573,21.0011912178931,22.0557939032126,23.2584602100926,24.4043344674491
268.410725,2.03463016722725,2.67018981477428,3.89220045947956,4.91921856522725,5.09101538648558,7.10060023401193,7.32413110241712,8.43550557613898,9.27980134316428,9.75692676847862,11.7242826220677,12.657291804851,13.4485689591683,14.9103383091023,15.3596088537216,17.2221822416699,17.6662422477812,18.0505004055713,19.8973018168172,20.14822954837,21.460421789274,22.4247368970251,23.2436857851506,24.7450247868371
268.810725,1.55156223168451,2.5831044568267,3.29498619611063,4.22520107068161,5.42029229119365,6.61984985042471,7.42589069576419,8.39965664963879,9.40116212961571,10.5731615457143,11.2542866927782,12.0103040984375,12.7565791224478,14.103464524575,15.6930163792198,16.1730982694156,17.6250731412934,17.6979479158473,19.9722622962543,19.8484819578553,21.3534998649449,21.7987770571774,23.6025228021441,24.3365521641492
269.21075,1.5130957745057,2.78173722874006,3.78116871665305,4.26290836729102,5.20506775028308,6.3456614014988,6.82539820965988,8.72539010110089,10.0795207307345,10.2704093546728,10.7926794704127,12.5027173182719,13.7098591090508,14.3023670599864,15.0777023863724,16.3030641229053,17.9626028073869,18.5730582846801,19.0973710925558,20.3120929882282,22.2497618789959,22.3071082159271,23.1207855617468,24.2515098281887
