Robustness test to targeted attack

Highest ranking node removal

network efficiency	number of connected components	size of largest island	average of shortest path lengths	average of weighted shortest path lengths
0.42857142857142855	8	15	1.1142857142857143	0.5019794388340145
0.4264069264069264	8	15	1.1238095238095238	0.5041601866718883
0.3939393939393939	9	14	1.0	0.4589005839755103
0.3917748917748918	9	14	1.010989010989011	0.45894984815123435
0.38961038961038963	9	14	1.021978021978022	0.4592299372019576
0.3874458874458874	9	14	1.032967032967033	0.4605908824444158
0.3852813852813853	9	14	1.043956043956044	0.46158779556674373
0.38311688311688313	9	14	1.054945054945055	0.4634810151063951
0.38095238095238093	9	14	1.065934065934066	0.4635187447488672
0.3787878787878788	9	14	1.0769230769230769	0.46373994238794997
0.37662337662337664	9	14	1.0879120879120878	0.4871087852075556
0.37445887445887444	9	14	1.098901098901099	0.4903104274523308
0.3722943722943723	9	14	1.10989010989011	0.4936462911215584
0.37012987012987014	9	14	1.120879120879121	0.4976787355271843
0.36796536796536794	9	14	1.1318681318681318	0.5012315257033031
0.33766233766233766	10	13	1.0	0.44303006652716637
0.3354978354978355	10	13	1.0128205128205128	0.44303006652716637
0.3333333333333333	10	13	1.0256410256410255	0.44355908464948823
0.33116883116883117	10	13	1.0384615384615385	0.4451066173235681
0.329004329004329	10	13	1.0512820512820513	0.4481722437164827
0.3268398268398268	10	13	1.064102564102564	0.4481722437164827
0.3246753246753247	10	13	1.0769230769230769	0.4485670497261532
0.3225108225108225	10	13	1.0897435897435896	0.46980756392699635
0.3203463203463203	10	13	1.1025641025641026	0.4720879941099905
0.3181818181818182	10	13	1.1153846153846154	0.4736450539271276
0.31601731601731603	10	13	1.1282051282051282	0.4775766057835141
0.31385281385281383	10	13	1.141025641025641	0.4799917569918267
0.2857142857142857	11	12	1.0	0.42283623732019326
0.28354978354978355	11	12	1.0151515151515151	0.4235294467456662
0.2813852813852814	11	12	1.0303030303030303	0.42550156105644976
0.2792207792207792	11	12	1.0454545454545454	0.42976183308189553
0.27705627705627706	11	12	1.0606060606060606	0.42976183308189553
0.2748917748917749	11	12	1.0757575757575757	0.4303350683218104
0.2727272727272727	11	12	1.0909090909090908	0.4532156075231223
0.27056277056277056	11	12	1.106060606060606	0.4558654433214665
0.2683982683982684	11	12	1.121212121212121	0.4577326188267883
0.2662337662337662	11	12	1.1363636363636365	0.46207180318062496
0.26406926406926406	11	12	1.1515151515151516	0.46513551980952517
0.23809523809523808	12	11	1.0	0.40016263722424683
0.23593073593073594	12	11	1.018181818181818	0.4028679645280501
0.23376623376623376	12	11	1.0363636363636364	0.40688824838592197
0.23160173160173161	12	11	1.0545454545454545	0.4077233837181841
0.22943722943722944	12	11	1.0727272727272728	0.4096885051654211
0.22727272727272727	12	11	1.0909090909090908	0.42445713835439713
0.22510822510822512	12	11	1.1090909090909091	0.4279526785343339
0.22294372294372294	12	11	1.1272727272727272	0.4311685067911812
0.22077922077922077	12	11	1.1454545454545455	0.43684737300302584
0.21861471861471862	12	11	1.1636363636363636	0.44070622612097315
0.19480519480519481	13	10	1.0	0.4048429035125741
0.19264069264069264	13	10	1.0222222222222221	0.40771701153359924
