Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R),"Primary somatosensory area, upper limb (L)","Primary somatosensory area, upper limb (R)","Primary somatosensory area, unassigned (L)","Primary somatosensory area, unassigned (R)"
477.219075,0.544322684313618,2.10497287393928,3.00981315023299,4.1716147637738,4.97980264882331,6.30747502266359,7.46912162471745,7.11713980063394,9.45393435435752,10.0936945900795,10.9453033250843,12.3715944310529,12.4748299095341,14.3677750577939,16.0246080434146,15.871025198136,16.9412162855237,18.104186738594,18.9832615627233,19.9387985516313,21.0647435500882,21.4150966135816,22.956868006105,23.919440689584
477.619075,1.47958400844883,2.57670047416586,3.69988739396643,4.50528761836581,5.64387576325318,5.73915129936491,7.19057819895577,8.42640695614742,9.53597857723864,10.3074995456199,11.5404555524083,13.0572928811935,13.1260540604607,14.7768108859262,15.4475715751754,16.6326902345673,18.2561870935014,18.2576576564865,19.3234179836572,20.2681919382397,21.8929657887742,22.1293342734487,23.5070815474989,24.6800256450398
478.0191,0.797598697343836,2.67339253881997,3.19201076017535,4.02997838243464,5.26895527200507,6.46454618518911,7.68830721332281,9.06205037778029,9.87517878496381,10.0525744585112,10.9078260572461,12.2522745430439,13.6609510708756,14.1650910652305,15.126084520113,15.9873986914755,17.7002595143683,18.2079103242819,19.425645308182,19.8394100142109,21.2986969707244,21.7279710899403,23.2372520129378,24.1321549295409
478.419125,1.16367116710901,2.21259087471951,3.08881822177616,3.98166334836695,5.08801281988017,5.9769183170364,6.87846789196906,7.770627809937,9.26060876746683,9.90503649136083,11.7093574313125,12.2701128201731,12.9608610943408,14.0049247703765,14.8137455478563,15.7521730810424,17.4838955262304,18.316264723656,18.8669791886949,21.118814593026,21.0531373264293,21.9038011158301,23.7869079841999,23.6226458451873
478.819125,1.10012633851455,2.26772118971325,3.43194568676831,3.91370575711992,5.12377095900071,5.84114660252358,7.45422576763942,8.25933911926088,9.55056241271511,10.7079132760973,11.5754721963134,12.2917566504008,13.1549533780915,13.8988212524274,14.9776154362647,16.300711386147,17.5657851248281,18.575587532052,19.3358680876601,20.1775447163556,20.8775065444576,22.0227075474599,23.2694981529652,24.73128986914
479.21915,0.974361860729481,1.80661029885352,3.02071253625122,4.00767699585393,4.90458402117186,6.37862593558915,7.31264522038808,8.69774565766311,9.04466496657069,9.83103228916557,11.3926941926414,12.1082380901628,12.7026594672058,13.9004533563805,14.7366973504274,16.191647269315,17.3304760005141,18.3725478966284,18.8486131561552,19.7930335639815,21.2337900272056,22.0240504865553,23.0645886028065,24.3799969369775
479.619175,0.837174434375738,2.29764550823316,3.12201663374636,4.16059252910617,5.07370725799521,6.48667709359792,7.35590076748606,7.99758198503346,10.1882386137657,9.76538175290655,10.8720912952951,13.204422948357,12.4927307020518,14.0108767819712,15.341799191179,16.3426566770065,17.010309093372,18.9368005224295,19.1129171727667,20.5126818506407,21.1965306508246,22.3907178964291,23.3576842320648,23.9984434205015
480.019175,1.27260375515425,2.73952653066326,3.63377776776539,4.99202373706962,5.43161198314191,6.39523294127753,6.87304388404825,8.48732117599441,9.94294909842179,9.97541615177054,10.6533624595336,12.698225918317,12.8720655149176,14.6303919933365,15.102389758849,16.5144239595558,17.5428263451935,18.6818389151698,19.4160046146507,20.1716762889834,21.6652128909693,22.6655379939264,23.4113800159733,24.7595798376773
480.4192,1.34285945639815,2.6027012444188,3.489180474802,4.34088557709523,5.85121223527169,7.00716712893278,7.34731156826037,8.23840952934496,9.79753346833086,10.5649645183806,11.3303211443293,12.1081614998879,13.5456877358782,14.792449720601,14.9436820101458,16.3056042240642,17.7810518425791,17.9983073974727,19.7904006679206,19.6664170914576,21.3006791454469,22.4964163507419,23.3984175271098,24.4770598831707
480.819225,1.15484383498207,2.26007454347378,3.27896859027876,3.97028152730708,5.26367786125632,5.79153651801577,6.67703088589283,7.86811116372739,9.96501656499766,10.7902982261121,11.3149145808535,12.1470181463846,12.8401254726633,14.1272640901402,15.1622589772753,15.7014767294241,17.5375175455154,17.9991875996738,18.9989681978187,20.5932156803008,21.1575707208529,22.1551585552262,23.8129664024315,24.2333205919541
481.219225,0.614151992831238,1.95770938251593,2.73286557390052,3.61685073088516,5.01875094202697,6.24671593979717,7.54527760307489,7.74478203382038,10.2547346786433,10.5318925306679,11.9426559597602,11.592797101599,12.9884135384457,13.7216348087432,15.3041739386887,16.6546861035501,17.1877825599086,18.3643386743574,18.8156894109187,19.7649322914135,20.4612113849163,21.2140832032284,22.8019612499653,23.6691453428222
481.61925,0.499682607568924,1.75352420375359,2.84819194032988,3.57502259939668,5.03511568014682,6.04478677688014,7.61398237938287,7.7611219010713,9.45599535195344,9.72756386652474,10.5622586691594,12.004941529907,12.2046352252021,13.7077215859554,14.4084176849807,15.9412973400383,16.6561103641238,17.89163284121,18.6923854407723,20.1507991633015,21.0027204806841,21.590107135068,22.8518269200019,23.9067739896489
482.01925,1.41514331858055,2.99672117665424,3.49844161545721,4.2776125680363,5.36354408717866,5.92754576518262,7.50060980468927,8.49234234365197,10.2206126407325,10.5511991201289,10.4765647218402,12.9400675259733,12.9314658683061,14.7934931446705,15.0824854387518,15.7375719437649,17.5047732820357,18.3539276952904,18.8772720120687,20.5682848155681,21.4502098252743,22.194695767232,23.4549079311854,24.4221994424183
482.419275,1.44774414107265,2.33123240792424,3.45556430680859,4.50600168855695,5.0220489549768,5.96021894955882,6.85634670043542,8.45176507444623,10.6013636718013,11.0543904847361,11.0681383161019,12.85648393469,12.8751402658164,14.7806843124898,14.9888592303154,16.9181490166676,17.8727785821411,17.9592316814759,19.7273829308299,20.8233162782445,21.3829799203623,22.0346063845586,23.5260520410376,24.3817036163004
482.8193,1.30513337242951,2.12808204107382,3.58639067297257,4.67178902750564,5.6580319366497,6.39421019598545,7.71272429909669,8.67737039448341,10.1394199045883,10.1751621135873,12.1288586573857,12.1634232574846,13.3744747682115,15.0064893410672,15.5542385658363,16.7824582222503,17.4975174823848,17.7753181407682,19.5466579460492,20.1150845210393,21.7821066044018,22.8729461958881,23.6317182860129,24.929151664604
483.2193,1.11431060381921,2.09857234009192,3.4630554583679,4.06304108145204,5.43911174579548,6.83931039722249,7.54900012441533,8.50242124983534,9.55352620934279,10.3960150650698,11.9838312610838,12.0693713121823,13.1409667107866,14.4092887813532,15.0490126578453,16.3788885398196,17.6178399249661,18.12669991627,19.4450855953072,19.573319374203,21.0886760004592,22.5543278870599,22.9538417845153,24.1718420524009
483.619325,1.04079108309661,2.22199279707072,2.71933260055837,3.96570575561325,5.147684266992,5.56392630370033,7.30724975058114,7.95520329460402,9.78910482153706,10.5279058445237,11.2160974562198,12.1034392615723,12.7953377764768,13.7832212943062,15.4484480812749,15.8754785312807,17.3253401461155,18.2681178878409,19.0815117194618,20.1191254158412,21.2138178303652,21.4991906491737,23.0726840718486,24.0760294521385
484.01935,1.2224240836478,2.28417556335152,3.11769858700796,4.36396232007301,5.10709515552738,6.26068078524729,7.37022977057915,8.21584461976871,9.83699486741052,9.67073850282057,11.1843289108158,12.6915950333331,13.5884771743247,14.3979119464702,14.7860847068244,15.8769807291263,16.9033313780142,18.20501886476,19.6283146295983,19.5689084243364,21.3857338670383,22.4370453145297,23.2870321867659,23.9323651296713
484.41935,1.23930944795165,2.46696036370037,3.37629373607954,4.45863360931014,5.33943706439328,6.68720107514708,7.53356931681702,7.8850881939742,10.312281142617,9.73506016799092,11.5917593336141,11.7638492145045,12.8853950118307,14.1728908093108,15.0193426231977,15.589729110921,18.0822533209024,18.5322886111938,19.4789510437367,20.4255499821458,21.5950741261487,21.862353817722,22.8302414742912,24.5159037015553
484.819375,1.75417571913212,2.72203595141859,3.71547959429738,4.56417129757898,5.80927476883305,7.30835985780809,7.88640775328684,8.85234023791172,9.96472822513919,9.50771259390596,11.4118775399991,12.1179996826435,13.0274404559588,14.7979303630954,15.7631705975584,16.3063636123314,17.6295708545148,17.9458839232028,19.6213575762697,20.3038788929891,21.6741436532326,22.8037424784791,23.4016445233703,24.8286565782786
485.2194,1.41132944765825,2.41675796858493,3.78041925366582,4.29899951070942,5.77048428492161,6.29375633836305,6.978211024223,8.3560734411826,9.73152209959295,10.3735230447398,10.809430735984,12.3668583202667,12.5977140862802,14.3351616103705,15.8094820830178,16.3019415933815,17.1084917559633,18.2297825358356,19.4350225149372,19.9272216305481,21.9541486071102,22.3748581188002,23.5220318741857,24.2490643278354
485.6194,1.27349980427085,2.47485879216938,3.54157717779946,4.33242116682031,5.71858051301976,5.61660685869146,6.9955305161578,8.10397630403623,9.67649023932542,10.1982434037444,10.8354211463443,12.5068271614289,13.3831557082757,14.2486237729938,16.4465297519708,16.8507441469397,17.7071752480765,18.7091069684411,19.3829330190889,20.3418069506518,21.3301213857633,22.3870864289514,23.3338732941492,24.0993686294386
486.019425,1.56481625339128,2.44553231522949,3.73293349417406,4.56015900742435,5.77815219408032,6.70847591493433,7.07062545993628,8.34620505237272,9.57469514238525,10.139492303768,11.3670654364211,13.175122809506,12.9177069667825,14.1585552730402,14.9937734833668,15.9859168334932,17.7526552082689,17.8633888915247,19.831866559032,20.2566564303741,21.5485567797724,22.5213560609161,23.4984012590268,24.5864344727246
486.419425,1.06448688263237,2.34455057943721,3.37271534644731,4.20479581688464,5.55164593026441,6.60764399683312,7.3149033457547,7.91566786486787,9.59136018608967,10.2879013621075,11.7142065353111,12.71729745882,12.6616489611637,14.2467054789455,15.2303957838065,16.7504170477369,17.6082475773847,18.7867258102115,19.3989906573695,20.1823586436764,21.5138318949334,22.6611927849194,23.4288005199129,24.1647553103431
486.81945,1.15252137754186,1.80732213061645,3.15892676148882,4.16749190356957,4.42863445933963,6.29572437333001,7.70533162380743,7.71694927984105,9.63687791156306,10.0388797098094,10.3883910071774,11.6628214257861,12.9122635057925,13.8524180778871,14.7581405023653,16.5029318392627,17.2558264708622,18.75521047208,19.0868040001605,20.1572292187457,21.3988056481948,21.619353341094,23.5558858337872,24.1571598433219
487.219475,1.54664369218774,2.35731913895491,3.63072890511281,4.94858328529123,5.11072120469406,6.68248630781203,7.29719250202055,8.14076372706274,10.2992436330563,10.1306305905003,11.3571616880789,12.2911993175708,12.9869058711014,14.5629317259362,15.1408818117799,15.7785299720682,17.7953936628633,18.9406733711796,19.8556065891011,20.5701042385209,21.3548503546581,22.3071637125991,23.3085497724319,24.3457977964264
487.619475,1.1124311720188,2.40781260709206,3.33106269302161,4.29026935576458,5.139567501228,6.53790763677096,6.51912232353573,8.76308811482818,9.4215296458041,10.0144491088408,10.7233296032568,11.9354865730331,12.9322422827407,14.512480669012,14.6336188847028,16.6625531682242,17.4813323555376,18.0354142593814,19.1869676105804,19.7854123578318,21.2042570582317,22.137813172726,23.1945229696207,23.840852002212
488.0195,1.28601816160853,2.24740407499031,3.14580960510197,4.09131637413679,5.00010629427551,5.64372961750051,6.9442024343723,7.95447978427282,9.77183163313657,10.0821286304515,10.9202014306926,11.6929698338497,12.4882655938534,14.0750778202593,15.1795409783153,15.7543557977055,17.5447891586396,17.9935923419119,19.1582263766162,20.3876048729106,20.7465097653588,22.2198316023143,23.2233011559471,24.1353019613793
488.419525,1.14952961503707,2.46980704173926,3.19403313809075,4.39276511195157,4.84407345393027,6.51477075065029,7.28764693033348,8.14752711762689,10.1528310964202,9.79770250829096,11.2034565259281,12.5173204091889,12.7032839450593,14.1297298373694,15.4939331574161,16.6819190173566,17.598873055467,18.2952888139968,19.7734191358341,20.1537825710274,21.4117908901839,22.4346565089934,23.452236418502,24.7256415392074
488.819525,0.733941402517138,2.18625932337188,2.86884673662012,4.29682910604091,5.25474594357496,5.83538140020648,6.56158438330219,7.95955792141542,9.85824667231322,9.48817794634001,11.0597014192642,12.3497325041011,12.6785670772227,14.0450273236844,15.3622643585147,16.5798772992944,17.5011420504736,18.5604795256435,18.2648017971569,19.6723373026551,21.0606573315236,22.1655873605011,23.0588691574934,23.9546968400155
489.21955,1.48688945999967,2.7242868722038,3.88720748774674,4.71695141184115,5.52538022801375,6.42619721746303,6.90170091383455,8.51308262481998,10.4212446134161,9.92296258667205,11.671869745448,12.4963711468887,13.1303152517622,14.6909068618699,14.853291534972,16.7945947171504,17.7159001264562,18.1856737490726,20.032884189123,20.6842737458884,21.3926841006425,22.7868203621269,23.5407406394693,24.9268006996884
